language,uni_lemma,tokens,freq,mlu,lexical_category,category,item_definition
English (American),toy (object),"toy, toyed, toys",-7.156682454851195,8.669915480088328,nouns,toys,toy (object)
English (American),tractor,"tractor, tractors",-8.851015955977081,6.506633499170813,nouns,vehicles,tractor
English (American),train,"train, trained, trains",-7.398869442505728,7.822856034148234,nouns,vehicles,train
English (American),trash,"garbage, trash, trashed",-9.38263931451004,7.470712773465067,nouns,household,trash
English (American),trash,"garbage, trash, trashed",-9.38263931451004,7.470712773465067,nouns,household,garbage
English (American),tray,"tray, trays",-10.065961854641468,8.521678321678321,nouns,household,tray
English (American),tree,"tree, trees",-7.540456698992093,9.717558958310049,nouns,outside,tree
English (American),tricycle,"tricycle, tricycles, trike",-11.210296392647672,7.955947136563877,nouns,vehicles,tricycle
English (American),truck,"truck, trucks",-7.616354380795786,7.025563728445677,nouns,vehicles,truck
English (American),try,"tried, tries, try, tryed, trying, trying to, trys",-6.80229427157053,8.10118061862279,function_words,helping_verbs,try/try to
English (American),tummy,"bellied, bellies, belly, bellys, stomach, stomachs, tummies, tummy, tummys",-8.427073623367969,6.989148128052089,nouns,body_parts,tummy
English (American),tuna,tuna,-11.12621327543713,6.445344129554656,nouns,food_drink,tuna
English (American),turkey,"turkey, turkeys",-9.832812661209937,5.6434108527131785,nouns,animals,turkey
English (American),turtle,"turtle, turtles",-9.276996751184289,6.8133333333333335,nouns,animals,turtle
English (American),tv,"tv, tvs",-8.940252615345377,7.754306436990027,nouns,furniture_rooms,TV
English (American),uh oh,"uh+oh, uh_oh",-14.560200479922278,3.4285714285714284,other,sounds,uh oh
English (American),uncle,"uncle, uncles",-9.9426077739356291,7.694684796044499,other,people,uncle
English (American),under,"under, unders",-8.025503624129398,7.4903776325344955,function_words,locations,under
English (American),underpants,"underpants, underwear, underwears",-11.030170226417154,7.1838235294117645,nouns,clothing,underpants
English (American),up,up,-5.407370054154542,8.08534583200932,function_words,locations,up
English (American),us,"us, we, wed, wes",-4.706060747016489,8.743858957943464,function_words,pronouns,us
English (American),vacuum,"hoover, hoovered, hoovering, vacuum, vacuum+cleaner, vacuumed, vacuuming, vacuums",-10.295761587475782,8.23943661971831,nouns,household,vacuum
English (American),vanilla,vanilla,-10.90954223862854,6.625407166123779,nouns,food_drink,vanilla
English (American),vitamin,"vitamin, vitamins",-11.264363613917949,7.097674418604651,nouns,food_drink,vitamins
English (American),vroom,"vroom, vrooms",-9.692666029466695,2.953801732435034,other,sounds,vroom
English (American),wait,"wait, waited, waiting, waits",-7.194466709722137,6.566661394907481,other,games_routines,wait
English (American),wait,"wait, waited, waiting, waits",-7.194466709722137,6.566661394907481,verbs,action_words,wait
English (American),wake,"wake, wakes, waking",-9.02483665689104,7.735569807597435,verbs,action_words,wake
English (American),walk,"walk, walked, walking, walks",-7.624343770829266,9.180867874073174,verbs,action_words,walk
English (American),walker,"walker, walkers",-11.966813187140207,8.103773584905658,nouns,household,walker
English (American),wanna,"wanna, want to, wants to",-5.632521471941011,7.026500389711614,other,games_routines,wanna/want to
English (American),wanna,"wanna, want to, wants to",-5.632521471941011,7.026500389711614,function_words,helping_verbs,wanna/want to
English (American),was,"'s, am, are, be, been, being, bes, beting, bing, is, was, were",-3.41769216625807,7.069386410213703,function_words,helping_verbs,was
English (American),wash,"wash, washed, washes",-8.066824926437878,7.844654683065279,verbs,action_words,wash
English (American),washing machine,washing+machine,-12.901972403318744,7.804878048780488,nouns,furniture_rooms,washing machine
English (American),watch (action),"watch, watched, watches, watching",-7.08019527518715,6.180644706214291,verbs,action_words,watch (action)
English (American),watch (object),"watch, watched, watches, watching",-7.08019527518715,6.180644706214291,nouns,household,watch (object)
English (American),water (beverage),"water, watered, watering, waters",-7.21661255621558,7.881397040989571,nouns,food_drink,water (beverage)
