"language","lexical_category","freq_mean","bias","bias_type","predicativeAdj"
"Spanish (Argentinian)","Nouns",-9.68016169101823,0.0053619507663831,"Verb bias",NA
"Spanish (Argentinian)","Verbs",-7.94319913617741,0.0053619507663831,"Verb bias",NA
"Spanish (Argentinian)","Adjectives",-8.7599343528213,0.0053619507663831,"Verb bias",NA
"Spanish (European)","Nouns",-9.76579797946652,0.00360080080175479,"Verb bias",NA
"Spanish (European)","Verbs",-7.64243312791794,0.00360080080175479,"Verb bias",NA
"Spanish (European)","Adjectives",-8.78173609391826,0.00360080080175479,"Verb bias",NA
"Spanish (Mexican)","Nouns",-9.69608894757348,-0.00513750275566295,"Verb bias",NA
"Spanish (Mexican)","Verbs",-7.87468741445591,-0.00513750275566295,"Verb bias",NA
"Spanish (Mexican)","Adjectives",-8.83679929665918,-0.00513750275566295,"Verb bias",NA
"Spanish (Peruvian)","Nouns",-9.47749201093177,0.00611708635848855,"Verb bias",NA
"Spanish (Peruvian)","Verbs",-7.36515115800395,0.00611708635848855,"Verb bias",NA
"Spanish (Peruvian)","Adjectives",-8.63982956732252,0.00611708635848855,"Verb bias",NA
"Swedish","Nouns",-9.82552021421538,0.0372205919652607,"Verb bias",NA
"Swedish","Verbs",-8.72255530275024,0.0372205919652607,"Verb bias",NA
"Swedish","Adjectives",-9.10516542525408,0.0372205919652607,"Verb bias",NA
"Turkish","Nouns",-8.56825707552044,0.0350262328176163,"Verb bias",NA
"Turkish","Verbs",-7.38541563377901,0.0350262328176163,"Verb bias",NA
"Turkish","Adjectives",-8.14368064988862,0.0350262328176163,"Verb bias",NA
"Cantonese","Nouns",-8.94100250377259,-0.012623125996661,"Adjective bias","present"
"Cantonese","Verbs",-7.04260016828268,-0.012623125996661,"Adjective bias","present"
"Cantonese","Adjectives",-7.93718863570971,-0.012623125996661,"Adjective bias","present"
"Croatian","Nouns",-9.52097374555193,-0.0449453900657672,"Adjective bias","absent"
"Croatian","Verbs",-8.27255993264437,-0.0449453900657672,"Adjective bias","absent"
"Croatian","Adjectives",-8.72065401540238,-0.0449453900657672,"Adjective bias","absent"
"Czech","Nouns",-8.99631488375131,-0.0603706631349941,"Adjective bias","absent"
"Czech","Verbs",-7.88558071976391,-0.0603706631349941,"Adjective bias","absent"
"Czech","Adjectives",-8.1465228629272,-0.0603706631349941,"Adjective bias","absent"
"Danish","Nouns",-9.33034170697847,-0.050910268051415,"Adjective bias","absent"
"Danish","Verbs",-7.99616243848178,-0.050910268051415,"Adjective bias","absent"
"Danish","Adjectives",-8.90307587869517,-0.050910268051415,"Adjective bias","absent"
"Dutch","Nouns",-9.59073808541283,-0.0121867478717385,"Adjective bias","absent"
"Dutch","Verbs",-8.58749004191117,-0.0121867478717385,"Adjective bias","absent"
"Dutch","Adjectives",-8.12891668046283,-0.0121867478717385,"Adjective bias","absent"
"English (American)","Nouns",-9.26336516537037,-0.021863723961778,"Adjective bias","absent"
"English (American)","Verbs",-7.92400196313019,-0.021863723961778,"Adjective bias","absent"
"English (American)","Adjectives",-8.40166086423604,-0.021863723961778,"Adjective bias","absent"
"English (Australian)","Nouns",-7.9101880106034,-0.0828158482163057,"Adjective bias","absent"
"English (Australian)","Verbs",-6.47233635035833,-0.0828158482163057,"Adjective bias","absent"
"English (Australian)","Adjectives",-7.00025221161278,-0.0828158482163057,"Adjective bias","absent"
"English (British)","Nouns",-8.25393148149216,-0.0801167172294142,"Adjective bias","absent"
"English (British)","Verbs",-6.95258018342958,-0.0801167172294142,"Adjective bias","absent"
"English (British)","Adjectives",-7.63508324435698,-0.0801167172294142,"Adjective bias","absent"
"English (Irish)","Nouns",-8.90323091637603,-0.0529905847066533,"Adjective bias","absent"
"English (Irish)","Verbs",-7.55864347672639,-0.0529905847066533,"Adjective bias","absent"
"English (Irish)","Adjectives",-8.26756959828872,-0.0529905847066533,"Adjective bias","absent"
"Estonian","Nouns",-9.03016756496009,-0.0818711417532101,"Adjective bias","absent"
"Estonian","Verbs",-7.41059316581964,-0.0818711417532101,"Adjective bias","absent"
"Estonian","Adjectives",-8.2396507023004,-0.0818711417532101,"Adjective bias","absent"
"Finnish","Nouns",-9.36519144721979,-0.122726212931389,"Adjective bias","absent"
"Finnish","Verbs",-8.66481492124656,-0.122726212931389,"Adjective bias","absent"
"Finnish","Adjectives",-8.9358678229969,-0.122726212931389,"Adjective bias","absent"
"French (French)","Nouns",-9.60985382616899,-0.025772257490057,"Adjective bias","absent"
"French (French)","Verbs",-8.6315956661032,-0.025772257490057,"Adjective bias","absent"
"French (French)","Adjectives",-8.12030482227608,-0.025772257490057,"Adjective bias","absent"
"French (Quebecois)","Nouns",-9.43831685744544,-0.00590731869460215,"Adjective bias","absent"
"French (Quebecois)","Verbs",-8.27077084702207,-0.00590731869460215,"Adjective bias","absent"
"French (Quebecois)","Adjectives",-8.02952844189188,-0.00590731869460215,"Adjective bias","absent"
"German","Nouns",-9.45610125323417,-0.0706282772696873,"Adjective bias","absent"
"German","Verbs",-8.5326926556142,-0.0706282772696873,"Adjective bias","absent"
"German","Adjectives",-8.38634121532431,-0.0706282772696873,"Adjective bias","absent"
"Hebrew","Nouns",-8.80632442870582,-0.105588391554615,"Adjective bias","absent"
"Hebrew","Verbs",-8.08043188157653,-0.105588391554615,"Adjective bias","absent"
"Hebrew","Adjectives",-8.17772995291132,-0.105588391554615,"Adjective bias","absent"
"Hungarian","Nouns",-9.11203791005088,-0.0651313032828918,"Adjective bias","absent"
"Hungarian","Verbs",-8.26825901606222,-0.0651313032828918,"Adjective bias","absent"
"Hungarian","Adjectives",-8.4433292134206,-0.0651313032828918,"Adjective bias","absent"
